,0,1,2,3,4,5,6,7,8,9
0,lr,b_sz,# lyrs,dropout,bias,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.001,16,6,0.2,True,0.04,0.15,-0.00,-0.01,-0.04
2,0.001,16,1,0.2,False,0.04,0.16,-0.06,0.22,0.21
3,0.0001,64,3,0,True,0.04,0.15,0.08,0.35,0.34
4,0.0001,4,5,0.2,True,0.04,0.15,0.01,0.23,0.24
5,0.1,4,3,0.3,True,0.04,0.15,-0.00,-0.01,-0.01
6,0.0001,64,4,0.2,True,0.04,0.14,0.11,0.36,0.35
7,0.0001,64,3,0.2,True,0.04,0.15,0.05,0.33,0.32
8,0.0001,64,4,0.2,True,0.04,0.15,0.07,0.35,0.34
9,0.0001,64,4,0,True,0.04,0.15,0.07,0.37,0.36
10,0.0001,64,4,0.1,True,0.04,0.15,0.11,0.37,0.35
11,0.1,64,4,0.1,True,0.04,0.15,0.01,0.26,0.27
12,1e-05,64,5,0.1,True,0.04,0.15,-0.00,0.03,0.03
13,1e-05,16,6,0.3,True,0.04,0.15,-0.00,0.04,0.05
14,0.01,1,4,0.1,True,0.04,0.15,0.00,0.03,0.03
15,0.01,16,2,0.2,False,0.04,0.16,-0.07,0.29,0.28
16,0.001,16,4,0.2,True,0.04,0.15,0.06,0.38,0.34
17,0.01,4,1,0,False,0.07,0.19,-0.70,0.13,0.14
18,0.0001,4,3,0.2,True,0.04,0.15,0.05,0.35,0.33
19,0.01,16,6,0.2,False,0.05,0.17,-0.25,0.22,0.25
20,0.001,1,2,0.1,False,0.07,0.20,-0.66,0.26,0.27
